"temperature","weather_id","humidity","dew_point","precipitation","cloud_cover","wind_speed","weather_code","last_seen"
12.7,1,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:17:02.153 +0100
12.7,2,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:18:01.648 +0100
12.7,3,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:19:02.167 +0100
12.7,4,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:20:06.268 +0100
12.7,5,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:21:01.770 +0100
12.7,6,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:22:02.087 +0100
12.7,7,83.0,9.9,0.0,93,17.6,3,2026-06-04 23:23:01.579 +0100
12.8,8,83.0,10.0,0.0,93,16.9,3,2026-06-04 23:40:05.788 +0100
12.8,9,82.0,9.8,0.0,87,15.8,3,2026-06-05 00:20:05.675 +0100
12.8,10,83.0,10.0,0.0,96,15.1,3,2026-06-05 00:40:06.324 +0100
12.6,11,82.0,9.6,0.0,100,14.4,3,2026-06-05 01:20:05.681 +0100
12.4,12,80.0,9.0,0.0,89,13.7,3,2026-06-05 01:40:05.818 +0100
12.3,13,81.0,9.1,0.0,85,13.0,3,2026-06-05 02:20:06.496 +0100
12.2,14,81.0,9.1,0.0,91,13.3,3,2026-06-05 02:40:06.430 +0100
12.1,15,80.0,8.8,0.0,100,14.0,3,2026-06-05 03:00:13.736 +0100
12.0,16,80.0,8.7,0.0,100,14.4,3,2026-06-05 03:20:06.909 +0100
11.9,17,79.0,8.4,0.0,100,14.4,3,2026-06-05 03:40:07.354 +0100
11.7,18,78.0,8.0,0.0,100,14.0,3,2026-06-05 04:20:06.400 +0100
11.7,19,78.0,8.0,0.0,100,12.6,3,2026-06-05 04:40:07.137 +0100
11.4,20,77.0,7.5,0.0,100,13.3,3,2026-06-05 05:20:06.400 +0100
11.4,21,77.0,7.5,0.0,100,13.0,3,2026-06-05 05:40:06.235 +0100
11.3,22,73.0,6.6,0.0,100,12.6,3,2026-06-05 06:20:05.995 +0100
11.3,23,73.0,6.6,0.0,100,12.2,3,2026-06-05 06:40:06.133 +0100
11.2,24,74.0,6.7,0.0,100,11.2,3,2026-06-05 07:20:06.190 +0100
11.1,25,79.0,7.6,0.0,100,11.2,3,2026-06-05 07:40:06.136 +0100
10.8,26,81.0,7.7,0.0,100,9.4,3,2026-06-05 08:20:06.003 +0100
10.9,27,80.0,7.6,0.0,100,9.7,3,2026-06-05 08:40:06.022 +0100
12.3,28,65.0,5.9,0.0,94,10.8,3,2026-06-05 09:20:06.211 +0100
12.7,29,59.0,4.9,0.0,88,14.4,3,2026-06-05 09:40:06.743 +0100
13.5,30,53.0,4.1,0.0,74,13.3,2,2026-06-05 10:20:06.523 +0100
13.6,31,53.0,4.2,0.0,69,14.0,2,2026-06-05 10:40:06.455 +0100
13.8,32,52.0,4.1,0.0,59,12.6,2,2026-06-05 11:00:14.067 +0100
14.0,33,52.0,4.3,0.0,65,12.6,2,2026-06-05 11:20:06.627 +0100
14.0,34,54.0,4.9,0.0,100,13.3,3,2026-06-05 11:40:05.945 +0100
14.6,35,51.0,4.6,0.0,100,13.7,3,2026-06-05 12:20:06.425 +0100
15.0,36,48.0,4.1,0.0,100,14.0,3,2026-06-05 12:40:06.562 +0100
15.3,37,47.0,4.1,0.0,100,13.7,3,2026-06-05 13:20:05.915 +0100
15.4,38,47.0,4.1,0.0,84,14.0,3,2026-06-05 13:40:06.051 +0100
15.4,39,48.0,4.4,0.0,71,14.0,2,2026-06-05 14:00:13.049 +0100
15.4,40,48.0,4.5,0.0,72,13.7,2,2026-06-05 14:20:05.917 +0100
15.5,41,49.0,4.9,0.0,78,13.0,2,2026-06-05 14:40:06.464 +0100
15.6,42,49.0,5.0,0.0,99,14.0,3,2026-06-05 15:00:13.771 +0100
15.7,43,49.0,5.0,0.0,100,14.0,3,2026-06-05 15:20:06.536 +0100
16.1,44,49.0,5.4,0.0,88,14.8,3,2026-06-05 15:40:05.750 +0100
16.1,45,50.0,5.7,0.0,82,14.4,3,2026-06-05 16:20:06.230 +0100
16.1,46,48.0,5.1,0.0,84,15.5,3,2026-06-05 16:40:05.959 +0100
15.9,47,49.0,5.2,0.0,97,14.4,3,2026-06-05 17:00:14.187 +0100
15.9,48,49.0,5.2,0.0,99,14.4,3,2026-06-05 17:20:06.439 +0100
15.5,49,50.0,5.1,0.0,92,14.8,3,2026-06-05 17:40:06.985 +0100
15.3,50,51.0,5.2,0.0,94,15.5,3,2026-06-05 18:00:11.951 +0100
15.2,51,53.0,5.7,0.0,85,16.2,3,2026-06-05 18:20:05.828 +0100
15.7,52,49.0,5.0,0.0,91,15.1,3,2026-06-05 18:40:06.376 +0100
15.3,53,52.0,5.5,0.0,100,16.2,3,2026-06-05 19:00:13.579 +0100
15.0,54,54.0,5.8,0.0,100,15.8,3,2026-06-05 19:20:06.138 +0100
14.9,55,54.0,5.7,0.0,100,15.8,3,2026-06-05 19:40:06.072 +0100
14.4,56,57.0,6.0,0.0,100,13.7,3,2026-06-05 20:00:12.352 +0100
14.2,57,59.0,6.3,0.0,100,13.3,3,2026-06-05 20:20:05.936 +0100
14.0,58,61.0,6.6,0.0,100,13.3,3,2026-06-05 20:40:05.972 +0100
14.1,59,60.0,6.5,0.0,100,14.8,3,2026-06-05 21:00:12.355 +0100
14.0,60,61.0,6.6,0.0,100,14.0,3,2026-06-05 21:20:06.142 +0100
13.8,61,62.0,6.7,0.0,100,13.3,3,2026-06-05 21:40:05.971 +0100
13.6,62,63.0,6.7,0.0,100,12.2,3,2026-06-05 22:00:11.536 +0100
13.3,63,69.0,7.7,0.0,100,10.8,3,2026-06-05 22:20:05.939 +0100
13.3,64,63.0,6.4,0.0,100,13.7,3,2026-06-05 22:40:05.974 +0100
13.1,65,60.0,5.5,0.0,100,14.8,3,2026-06-05 23:00:12.694 +0100
13.0,66,61.0,5.6,0.0,100,15.1,3,2026-06-05 23:20:06.559 +0100
12.6,67,65.0,6.2,0.0,100,15.1,3,2026-06-05 23:40:05.672 +0100
12.1,68,71.0,7.0,0.1,100,14.8,51,2026-06-06 00:20:05.638 +0100
11.7,69,77.0,7.8,0.1,100,13.7,51,2026-06-06 00:40:05.778 +0100
11.0,70,85.0,8.6,0.2,100,14.4,53,2026-06-06 01:20:05.643 +0100
10.8,71,87.0,8.7,0.2,100,14.4,53,2026-06-06 01:40:05.986 +0100
