timestamp,temp,humidity,air quality(finedust generation),location,,,,
 ,-1,22.7,81,kitchen,,,,
2026. 4. 9 오후 7:31:43,-1,22,272,kitchen,,,,
2026. 4. 9 오후 7:32:47,-1,22.2,116,kitchen,,,,
2026. 4. 9 오후 7:33:59,-1,21.3,144,kitchen,,,,
2026. 4. 9 오후 7:35:06,-1,21.4,51,kitchen,,,,
2026. 4. 9 오후 7:35:55,-1,21.3,0,kitchen,,,,
2026. 4. 9 오후 7:37:02,-1,21.4,109,kitchen,,,,
2026. 4. 9 오후 7:37:50,-0.9,22.1,0,kitchen,,,,
2026. 4. 9 오후 7:38:54,-1,22.1,109,kitchen,,,,
2026. 4. 9 오후 7:39:08,-1,21.9,0,kitchen,,,,
2026. 4. 9 오후 7:40:19,-0.8,22.6,0,kitchen,,,,
2026. 4. 9 오후 7:42:14,24.2,46.4,0,kitchen,,,,
2026. 4. 9 오후 7:43:19,24.1,46.1,166,kitchen,,,,
2026. 4. 9 오후 7:44:23,24.2,46.6,112,kitchen,,,,
2026. 4. 9 오후 7:45:28,24.2,46.4,161,kitchen,,,,
2026. 4. 9 오후 7:46:32,24.2,46,249,kitchen,,,,
2026. 4. 9 오후 7:47:36,24.2,46.4,123,kitchen,,,,
2026. 4. 9 오후 7:48:40,24.1,46.9,130,kitchen,,,,
2026. 4. 9 오후 7:49:44,24.1,46.8,59,kitchen,,,,
2026. 4. 9 오후 7:50:49,24.1,46.9,130,kitchen,,,,
2026. 4. 9 오후 7:51:52,24.1,46.5,275,kitchen,,,,
2026. 4. 9 오후 7:52:57,24.1,48.2,114,kitchen,,,,
2026. 4. 9 오후 7:54:01,24.1,47.5,149,kitchen,,,,
2026. 4. 9 오후 7:55:05,24,47.7,53,kitchen,,,,
2026. 4. 9 오후 7:56:09,24,48.2,109,kitchen,,,,
2026. 4. 9 오후 8:15:55,22.4,54.8,0,kitchen,,,,
2026. 4. 9 오후 8:18:43,22.4,52.3,0,kitchen,,,,
2026. 4. 9 오후 8:19:48,23,51.7,160,kitchen,,,,
2026. 4. 9 오후 8:20:52,23.2,51.4,240,kitchen,,,,
2026. 4. 9 오후 8:21:56,23.3,50.9,327,kitchen,,,,
2026. 4. 9 오후 8:23:01,23.4,50.7,329,kitchen,,,,
2026. 4. 9 오후 8:24:09,23.4,52.2,141,kitchen,,,,
2026. 4. 9 오후 8:25:20,23.5,51.1,0,kitchen,,,,
2026. 4. 9 오후 8:27:45,23.6,51.6,304,kitchen,,,,
2026. 4. 9 오후 8:31:22,23.5,44.6,445,kitchen,,,,
2026. 4. 9 오후 8:32:50,23.5,47,464,kitchen,,,,
2026. 4. 9 오후 8:34:03,23.4,47.3,165,kitchen,,,,
2026. 4. 9 오후 8:35:11,23.4,48.5,368,kitchen,,,,
2026. 4. 9 오후 8:36:20,23.3,47.6,320,kitchen,,,,
2026. 4. 9 오후 8:37:25,23.3,46.9,477,kitchen,,,,
2026. 4. 9 오후 8:38:29,23.2,46.8,290,kitchen,,,,
2026. 4. 9 오후 8:39:37,23.2,50.6,94,kitchen,,,,
2026. 4. 9 오후 8:40:44,23.2,48.6,347,kitchen,,,,
2026. 4. 9 오후 8:41:49,23.1,47.4,401,kitchen,,,,
2026. 4. 9 오후 8:43:58,23.1,47.4,416,kitchen,,,,
2026. 4. 9 오후 8:45:02,23,47.9,275,kitchen,,,,
2026. 4. 9 오후 8:46:06,23,48.8,474,kitchen,,,,
2026. 4. 9 오후 8:47:11,23,49.8,116,kitchen,,,,
2026. 4. 9 오후 8:49:30,23.1,52.7,384,kitchen,,,,
2026. 4. 9 오후 8:50:34,23.1,52.1,486,kitchen,,,,
2026. 4. 9 오후 8:52:44,23.2,52.3,496,kitchen,,,,
2026. 4. 9 오후 8:53:48,23.2,52.6,321,kitchen,,,,
2026. 4. 9 오후 8:56:00,23.3,54.5,19,kitchen,,,,
2026. 4. 9 오후 8:57:04,23.3,54.2,254,kitchen,,,,
2026. 4. 9 오후 8:58:11,23.3,53.1,16,kitchen,,,,
2026. 4. 9 오후 8:59:15,23.3,52.7,458,kitchen,,,,
2026. 4. 9 오후 9:00:22,23.4,52.5,302,kitchen,,,,
2026. 4. 9 오후 9:02:32,23.5,53.7,106,kitchen,,,,
2026. 4. 9 오후 9:03:39,23.5,51.6,61,kitchen,,,,
2026. 4. 9 오후 9:05:02,23.6,53.4,368,kitchen,,,,
