Timestamp,Temperature,Humidity,Pressure,Gas
2026. 4. 12 오전 11:14:28,25.51,40.25,990.86,136.85
2026. 4. 12 오전 11:14:31,25.51,40.25,990.86,136.85
2026. 4. 12 오전 11:14:33,27.06,40.56,990.84,176.87
2026. 4. 12 오전 11:14:36,26.75,39.92,990.86,158.62
2026. 4. 12 오전 11:14:39,26.47,39.88,990.86,152.41
2026. 4. 12 오전 11:14:41,26.24,39.98,990.85,147.19
2026. 4. 12 오전 11:14:45,26.07,40.08,990.85,143.65
2026. 4. 12 오전 11:14:47,25.94,40.21,990.86,142.43
2026. 4. 12 오전 11:14:50,25.83,40.33,990.86,140.52
2026. 4. 12 오전 11:14:53,25.74,40.41,990.86,140.05
2026. 4. 12 오전 11:14:55,25.68,40.46,990.87,139.93
2026. 4. 12 오전 11:14:59,25.63,40.51,990.87,138.43
2026. 4. 12 오전 11:15:02,25.59,40.61,990.86,137.41
2026. 4. 12 오전 11:15:04,25.55,40.66,990.86,137.97
2026. 4. 12 오전 11:15:07,25.53,40.72,990.85,138.43
2026. 4. 12 오전 11:15:10,25.5,40.71,990.84,137.41
2026. 4. 12 오전 11:15:13,25.49,40.68,990.84,135.52
2026. 4. 12 오전 11:15:16,25.47,40.68,990.84,136.62
2026. 4. 12 오전 11:15:18,25.46,40.67,990.83,137.18
2026. 4. 12 오전 11:15:21,25.46,40.7,990.82,134.54
2026. 4. 12 오전 11:15:24,25.45,40.73,990.82,134.32
2026. 4. 12 오전 11:15:27,25.44,40.73,990.81,136.96
2026. 4. 12 오전 11:15:30,25.43,40.69,990.81,136.51
2026. 4. 12 오전 11:15:32,25.43,40.6,990.82,136.51
2026. 4. 12 오전 11:15:35,25.42,40.48,990.82,137.07
2026. 4. 12 오전 11:15:38,25.41,40.46,990.83,135.52
2026. 4. 12 오전 11:15:41,25.4,40.44,990.82,136.18
2026. 4. 12 오전 11:15:44,25.4,40.47,990.82,136.62
2026. 4. 12 오전 11:15:46,25.4,40.51,990.82,137.07
2026. 4. 12 오전 11:15:50,25.39,40.5,990.82,134.97
2026. 4. 12 오전 11:15:52,25.39,40.47,990.82,137.63
2026. 4. 12 오전 11:15:55,25.38,40.46,990.82,137.86
2026. 4. 12 오전 11:15:57,25.38,40.43,990.82,137.63
2026. 4. 12 오전 11:16:01,25.37,40.4,990.82,137.52
2026. 4. 12 오전 11:16:03,25.36,40.33,990.82,137.97
2026. 4. 12 오전 11:16:06,25.36,40.28,990.83,135.3
2026. 4. 12 오전 11:16:08,25.35,40.22,990.83,138.77
2026. 4. 12 오전 11:16:11,25.34,40.14,990.83,137.52
2026. 4. 12 오전 11:16:13,25.33,40.1,990.83,137.63
2026. 4. 12 오전 11:17:30,24.69,39.98,990.84,140.28
2026. 4. 12 오전 11:17:32,24.69,39.98,990.84,140.28
2026. 4. 12 오전 11:17:35,24.69,39.98,990.84,140.28
2026. 4. 12 오전 11:17:37,26.25,40.35,990.8,184.88
2026. 4. 12 오전 11:17:40,25.92,39.77,990.8,164.05
2026. 4. 12 오전 11:17:42,25.65,39.76,990.79,156.25
2026. 4. 12 오전 11:17:45,25.43,39.8,990.79,151.17
2026. 4. 12 오전 11:17:48,25.26,39.84,990.78,148.49
2026. 4. 12 오전 11:17:50,25.14,39.89,990.79,147.06
2026. 4. 12 오전 11:17:52,25.03,39.92,990.79,145.27
2026. 4. 12 오전 11:17:55,24.96,39.95,990.79,144.65
2026. 4. 12 오전 11:17:58,24.89,39.95,990.8,143.65
2026. 4. 12 오전 11:18:00,24.85,39.93,990.8,143.78
2026. 4. 12 오전 11:18:03,24.82,39.9,990.81,143.65
2026. 4. 12 오전 11:18:05,24.78,39.82,990.83,143.16
2026. 4. 12 오전 11:18:08,24.76,39.77,990.83,143.53
